# db4a input recording
# frame button down
713 a 1
720 a 0
770 start 1
774 start 0
980 a 1
988 a 0
998 a 1
1003 a 0
1019 a 1
1025 a 0
1031 a 1
1036 a 0
1044 a 1
1049 a 0
1083 a 1
1088 a 0
1095 a 1
1100 a 0
1152 a 1
1159 a 0
1165 a 1
1171 a 0
1178 a 1
1184 a 0
1190 a 1
1195 a 0
1202 a 1
1206 a 0
1212 a 1
1217 a 0
1224 a 1
1228 a 0
1237 a 1
1242 a 0
1251 a 1
1257 a 0
1265 a 1
1269 a 0
1305 a 1
1310 a 0
1316 a 1
1321 a 0
1331 a 1
1336 a 0
1343 a 1
1348 a 0
1354 a 1
1359 a 0
1366 a 1
1370 a 0
1377 a 1
1382 a 0
2105 down 1
2116 right 1
2118 down 0
2132 right 0
2137 a 1
2141 a 0
2147 a 1
2153 a 0
2195 down 1
2208 down 0
2209 right 1
2218 right 0
2226 left 1
2234 left 0
2308 a 1
2315 a 0
2357 down 1
2390 down 0
2399 right 1
2416 down 1
2419 right 0
2425 left 1
2437 down 0
2450 up 1
2452 left 0
2458 up 0
2460 right 1
2470 right 0
2479 right 1
2486 right 0
2505 left 1
2514 left 0
2522 a 1
2528 a 0
2537 b 1
2544 b 0
2545 right 1
2580 up 1
2590 up 0
2591 right 0
2600 a 1
2606 a 0
2610 right 1
2639 right 0
2639 a 1
2646 left 1
2646 a 0
2671 down 1
2684 down 0
2685 left 0
2696 up 1
2702 up 0
2717 a 1
2721 a 0
2738 up 1
2751 up 0
2756 b 1
2764 b 0
2780 up 1
2803 up 0
2867 a 1
2873 a 0
2874 down 1
2883 b 1
2890 b 0
2891 right 1
2896 down 0
2915 down 1
2915 right 0
2926 down 0
3017 a 1
3023 a 0
3028 left 1
3049 up 1
3068 up 0
3073 left 0
3073 a 1
3078 a 0
3107 down 1
3135 down 0
3135 right 1
3142 right 0
3148 a 1
3154 a 0
3262 right 1
3288 right 0
3303 up 1
3309 up 0
3315 left 1
3322 left 0
3343 right 1
3349 right 0
3399 right 1
3402 up 1
3402 right 0
3416 up 0
3476 left 1
3483 left 0
3486 a 1
3494 a 0
3497 down 1
3524 down 0
3526 a 1
3534 a 0
3540 left 1
3563 left 0
3563 a 1
3570 a 0
3616 a 1
3622 a 0
3648 down 1
3672 down 0
3687 down 1
3710 down 0
3713 right 1
3741 right 0
3766 right 1
3774 right 0
3793 a 1
3799 a 0
3801 left 1
3818 up 1
3836 up 0
3850 left 0
3850 a 1
3856 a 0
3907 down 1
3915 right 1
3920 down 0
3941 right 0
3943 a 1
3949 a 0
3997 right 1
4002 right 0
4166 left 1
4181 down 1
4200 down 0
4200 left 0
4207 right 1
4236 right 0
4418 down 1
4420 left 1
4475 right 1
4478 down 0
4479 left 0
4507 up 1
4562 up 0
4562 left 1
4562 right 0
4579 down 1
4592 down 0
4603 up 1
4603 left 0
4610 up 0
4614 right 1
4623 right 0
4627 down 1
4634 down 0
4657 a 1
4662 a 0
4676 right 1
4707 up 1
4707 right 0
4714 right 1
4716 up 0
4720 up 1
4724 up 0
4743 right 0
4935 left 1
4993 left 0
7167 up 1
7182 left 1
7234 left 0
7259 right 1
7264 up 0
7278 right 0
7284 right 1
7287 down 1
7298 down 0
7300 right 0
7313 down 1
7317 right 1
7396 right 0
7427 left 1
7429 down 0
7480 up 1
7484 up 0
7484 left 0
7486 right 1
7493 right 0
7527 up 1
7572 left 1
7604 left 0
7619 right 1
7620 up 0
7634 right 0
7670 a 1
7678 a 0
7711 b 1
7717 b 0
7728 down 1
7734 right 1
7817 right 0
7833 down 0
7841 left 1
7873 up 1
7906 up 0
7908 left 0
7944 right 1
7993 right 0
8006 left 1
8013 left 0
9868 up 1
9869 left 1
9944 up 0
9946 left 0
9957 down 1
9959 down 0
9960 right 1
9965 down 1
9968 down 0
9969 right 0
9981 a 1
9987 a 0
10007 b 1
10012 b 0
10018 down 1
10028 right 1
10081 down 0
10082 right 0
10098 up 1
10113 up 0
10124 a 1
10130 a 0
10134 left 1
10139 down 1
10190 down 0
10205 up 1
10235 up 0
10252 a 1
10262 a 0
10267 left 0
10277 right 1
10304 left 1
10304 right 0
10368 left 0
10435 up 1
10455 up 0
10584 right 1
10590 right 0
10596 right 1
10605 down 1
10605 right 0
10612 left 1
10614 down 0
10622 left 0
10638 a 1
10645 a 0
10647 right 1
10652 up 1
10669 up 0
10676 right 0
10695 a 1
10700 right 1
10701 a 0
10704 right 0
10742 down 1
10755 right 1
10757 down 0
10817 right 0
10861 left 1
10876 down 1
10901 down 0
10992 up 1
11004 up 0
11014 left 0
11038 up 1
11051 up 0
11114 right 1
11135 right 0
11137 a 1
11144 right 1
11144 a 0
11204 a 1
11210 a 0
11275 right 0
11974 down 1
11986 left 1
12016 down 0
12016 left 0
12025 left 1
12029 left 0
12036 a 1
12042 a 0
12083 left 1
12102 left 0
12408 up 1
12424 up 0
12444 left 1
12482 left 0
12519 up 1
12549 up 0
12894 left 1
12901 up 1
12929 left 0
12954 up 0
12958 right 1
12972 right 0
12999 right 1
13005 right 0
13013 a 1
13018 a 0
13043 b 1
13048 b 0
13531 right 1
13546 right 0
13550 a 1
13559 a 0
13577 b 1
13584 b 0
14107 right 1
14124 a 1
14131 right 0
14133 a 0
14160 b 1
14167 b 0
14187 a 1
14193 a 0
14211 down 1
14213 right 1
14275 down 0
14275 right 0
14284 left 1
14287 down 1
14288 left 0
14296 left 1
14318 down 0
14320 left 0
14329 left 1
14336 left 0
14349 up 1
14357 up 0
14360 a 1
14368 a 0
14381 up 1
14450 up 0
14779 down 1
14810 down 0
14855 down 1
14912 down 0
14926 up 1
14947 up 0
15110 up 1
15138 up 0
15695 a 1
15704 a 0
15804 a 1
15813 a 0
15836 a 1
15843 a 0
15856 a 1
15863 a 0
15875 a 1
15882 a 0
15899 a 1
15906 a 0
15984 a 1
15991 a 0
16062 a 1
16068 a 0
16079 a 1
16085 a 0
16095 a 1
16101 a 0
16135 a 1
16143 a 0
16321 a 1
16330 a 0
16436 a 1
16445 a 0
16538 a 1
16545 a 0
16554 a 1
16559 a 0
16567 a 1
16573 a 0
16581 a 1
16588 a 0
16599 a 1
16607 a 0
16743 a 1
16751 a 0
17369 right 1
17378 down 1
17391 down 0
17393 right 0
17399 a 1
17407 a 0
17418 a 1
17426 a 0
17484 down 1
17490 down 0
17502 a 1
17509 a 0
17593 up 1
17622 up 0
17622 left 1
17630 down 1
17649 down 0
17655 left 0
17658 down 1
17663 right 1
17680 right 0
17682 down 0
17689 a 1
17694 down 1
17695 a 0
17699 down 0
17722 left 1
17735 down 1
17735 left 0
17735 a 1
17742 a 0
17750 left 1
17767 left 0
17770 down 0
17770 a 1
17778 a 0
17779 right 1
17786 b 1
17793 b 0
17803 up 1
17821 up 0
17829 right 0
17829 a 1
17836 right 1
17836 a 0
17864 a 1
17865 right 0
17868 left 1
17870 a 0
17922 up 1
17924 left 0
17932 up 0
17945 down 1
17951 down 0
17962 up 1
17969 up 0
17977 a 1
17983 a 0
17993 left 1
17994 b 1
17996 left 0
17998 b 0
18009 up 1
18026 up 0
18042 right 1
18054 right 0
18064 right 1
18066 down 1
18105 down 0
18108 right 0
18121 left 1
18134 left 0
18139 up 1
18145 up 0
18169 a 1
18176 a 0
18184 b 1
18192 b 0
18209 left 1
18213 up 1
18213 left 0
18218 right 1
18235 up 0
18235 right 0
18256 left 1
18268 left 0
18299 a 1
18306 a 0
18323 up 1
18358 up 0
18358 a 1
18366 a 0
18408 down 1
18420 down 0
18421 right 1
18430 right 0
18435 a 1
18441 a 0
18565 left 1
18569 down 1
18592 down 0
18605 left 0
18646 down 1
18650 right 1
18676 down 0
18688 right 0
18869 a 1
18876 a 0
