# db4a input recording
# frame button down
1386 a 1
1392 a 0
1415 a 1
1417 a 0
1450 a 1
1456 a 0
1530 a 1
1536 a 0
1613 a 1
1619 a 0
1628 a 1
1633 a 0
1640 a 1
1647 a 0
1656 a 1
1663 a 0
1680 a 1
1686 a 0
1773 a 1
1779 a 0
1786 a 1
1792 a 0
1799 a 1
1803 a 0
1811 a 1
1815 a 0
1822 a 1
1828 a 0
1833 a 1
1839 a 0
1844 a 1
1851 a 0
1856 a 1
1864 a 0
1980 a 1
1986 a 0
2573 a 1
2580 a 0
2591 a 1
2599 a 0
2651 down 1
2657 down 0
2660 a 1
2666 a 0
2747 down 1
2775 right 1
2785 right 0
2786 down 0
2795 left 1
2806 left 0
2853 a 1
2860 a 0
2866 up 1
2888 up 0
2888 a 1
2894 a 0
2928 down 1
2942 down 0
2943 right 1
2950 right 0
2956 a 1
2963 a 0
3080 down 1
3095 down 0
3097 down 1
3101 down 0
3120 down 1
3128 down 0
3384 a 1
3391 a 0
3397 up 1
3422 up 0
3422 a 1
3430 a 0
3479 down 1
3487 down 0
3487 right 1
3498 right 0
3505 right 1
3510 right 0
3523 a 1
3529 a 0
3617 down 1
3632 right 1
3653 down 0
3653 right 0
3671 up 1
3687 up 0
3696 right 1
3704 right 0
3736 up 1
3741 up 0
4200 a 1
4206 a 0
4289 right 1
4318 up 1
4318 right 0
4333 left 1
4347 up 0
4348 left 0
4363 a 1
4369 a 0
4372 right 1
4375 down 1
4391 right 0
4395 right 1
4422 right 0
4427 down 0
4432 left 1
4445 left 0
4456 down 1
4466 down 0
4472 a 1
4479 a 0
4500 left 1
4572 left 0
5314 left 1
5321 up 1
5352 left 0
5392 left 1
5416 left 0
5418 up 0
5423 right 1
5454 down 1
5468 down 0
5469 right 0
5480 left 1
5495 left 0
5524 up 1
5534 up 0
5561 a 1
5568 a 0
5615 b 1
5623 b 0
5631 right 1
5645 down 1
5650 right 0
5652 right 1
5668 right 0
5674 left 1
5680 down 0
5688 left 0
5700 a 1
5707 right 1
5707 a 0
5726 up 1
5730 right 0
5733 up 0
5733 right 1
5735 right 0
5740 a 1
5747 a 0
5756 left 1
5760 down 1
5785 down 0
5786 left 0
5791 a 1
5801 a 0
5816 down 1
5825 down 0
5842 b 1
5847 b 0
5852 down 1
5861 down 0
5865 a 1
5872 a 0
5875 up 1
5881 right 1
5907 up 0
5931 right 0
5944 a 1
5951 a 0
5965 down 1
6010 left 1
6030 down 0
6039 up 1
6049 up 0
6049 left 0
6063 right 1
6073 right 0
6084 a 1
6092 a 0
6144 left 1
6156 down 1
6174 down 0
6197 down 1
6197 left 0
6204 down 0
6210 right 1
6216 right 0
6228 a 1
6233 a 0
6244 right 1
6284 down 1
6312 down 0
6337 left 1
6337 right 0
6392 left 0
6544 left 1
6559 left 0
6598 up 1
6632 up 0
6645 right 1
6660 up 1
6730 up 0
6731 right 0
6775 left 1
6801 left 0
6810 down 1
6834 right 1
6837 down 0
6844 right 0
6852 a 1
6858 a 0
6861 up 1
6870 left 1
6886 up 0
6886 left 0
6896 left 1
6903 left 0
6908 a 1
6916 a 0
6932 right 1
6944 down 1
6995 right 0
7008 left 1
7027 left 0
7027 right 1
7045 down 0
7047 right 0
7049 left 1
7072 up 1
7115 left 0
7137 left 1
7173 left 0
7186 left 1
7224 left 0
7225 up 0
7227 right 1
7268 right 0
7282 left 1
7294 left 0
7298 a 1
7304 a 0
7312 right 1
7332 right 0
7334 right 1
7335 right 0
7361 b 1
7367 b 0
7712 down 1
7714 right 1
7757 right 0
7782 right 1
7793 down 0
7796 right 0
8156 down 1
8192 right 1
8208 down 0
8210 right 0
8224 up 1
8258 left 1
8298 left 0
8358 up 0
8363 up 1
8364 up 0
8368 left 1
8378 down 1
8391 left 0
8392 down 0
8399 a 1
8406 a 0
8443 down 1
8450 right 1
8520 right 0
8528 left 1
8544 left 0
8546 down 0
8555 left 1
8559 left 0
8559 a 1
8565 a 0
14027 up 1
14040 left 1
14129 up 0
14129 left 0
14130 right 1
14177 right 0
14239 a 1
14246 a 0
15998 down 1
16007 right 1
16076 right 0
16083 left 1
16084 down 0
16106 down 1
16109 left 0
16118 down 0
16122 a 1
16131 a 0
