# db4a input recording (generated from the 'slab' scenario)
# frame button down
2400 start 1
2406 start 0
2658 b 1
2664 b 0
2916 b 1
2922 b 0
3006 b 1
3012 b 0
3096 b 1
3102 b 0
3186 b 1
3192 b 0
3276 b 1
3282 b 0
3366 b 1
3372 b 0
3456 b 1
3462 b 0
3546 b 1
3552 b 0
3636 b 1
3642 b 0
3726 b 1
3732 b 0
3816 b 1
3822 b 0
3906 b 1
3912 b 0
3996 b 1
4002 b 0
4086 b 1
4092 b 0
4176 b 1
4182 b 0
4266 b 1
4272 b 0
4356 b 1
4362 b 0
4446 b 1
4452 b 0
4836 a 1
4842 a 0
4964 down 1
4970 down 0
5032 a 1
5038 a 0
6090 down 1
6096 down 0
6135 down 1
6141 down 0
6180 down 1
6186 down 0
6315 a 1
6321 a 0
6623 up 1
6629 up 0
6668 up 1
6674 up 0
6713 up 1
6719 up 0
6878 a 1
6884 a 0
7006 down 1
7012 down 0
7074 right 1
7080 right 0
7142 a 1
7148 a 0
9100 down 1
9106 down 0
9145 down 1
9151 down 0
9190 down 1
9196 down 0
9325 a 1
9331 a 0
9633 up 1
9639 up 0
9678 up 1
9684 up 0
9723 up 1
9729 up 0
9888 a 1
9894 a 0
10016 down 1
10022 down 0
10084 right 1
10090 right 0
10152 right 1
10158 right 0
10220 a 1
10226 a 0
12778 down 1
12784 down 0
12823 down 1
12829 down 0
12868 down 1
12874 down 0
13003 a 1
13009 a 0
13311 up 1
13317 up 0
13356 up 1
13362 up 0
13401 up 1
13407 up 0
