# db4a input recording
# frame button down
# frame mouse x y   (game pixels)
0 start 1
0 mouse -40 0
6 start 0
112 start 1
119 start 0
868 start 1
874 start 0
1001 start 1
1008 start 0
1056 down 1
1062 down 0
1071 start 1
1077 start 0
1125 down 1
1152 down 0
1172 down 1
1177 down 0
1181 down 1
1186 down 0
1190 down 1
1195 down 0
1199 down 1
1204 down 0
1266 a 1
1274 a 0
1323 right 1
1329 right 0
1333 right 1
1339 right 0
1343 right 1
1347 right 0
1351 a 1
1357 a 0
1384 down 1
1390 down 0
1397 down 1
1401 down 0
1409 up 1
1415 up 0
1428 left 1
1433 left 0
1438 left 1
1442 left 0
1447 left 1
1452 left 0
1457 down 1
1464 down 0
1467 a 1
1473 a 0
1483 right 1
1488 right 0
1492 right 1
1499 right 0
1503 right 1
1511 right 0
1516 up 1
1522 up 0
1529 a 1
1535 a 0
1541 up 1
1547 up 0
1549 right 1
1556 right 0
1559 a 1
1566 a 0
1584 down 1
1591 down 0
1597 right 1
1603 right 0
1606 right 1
1611 right 0
1616 right 1
1621 right 0
1628 a 1
1634 a 0
1652 left 1
1658 left 0
1665 left 1
1672 left 0
1680 left 1
1687 left 0
1693 left 1
1699 left 0
1705 left 1
1710 left 0
1716 left 1
1722 left 0
1727 left 1
1734 left 0
1739 down 1
1745 down 0
1751 a 1
1759 a 0
1779 right 1
1786 right 0
1791 right 1
1796 right 0
1803 right 1
1809 right 0
1814 right 1
1820 right 0
1825 right 1
1830 right 0
1854 up 1
1861 up 0
1866 left 1
1872 left 0
1878 left 1
1884 left 0
1907 a 1
1915 a 0
1926 a 1
1933 a 0
1940 up 1
1947 up 0
1952 right 1
1959 right 0
1968 a 1
1975 a 0
2002 right 1
2007 right 0
2012 right 1
2018 right 0
2041 right 1
2048 right 0
2053 down 1
2059 down 0
2068 a 1
2075 a 0
2088 a 1
2095 a 0
2283 a 1
2293 a 0
2302 a 1
2309 a 0
2315 a 1
2322 a 0
2331 a 1
2337 a 0
2343 a 1
2349 a 0
2365 a 1
2369 a 0
2404 mouse 270 145
2405 mouse 272 136
2406 mouse 275 127
2407 mouse 278 123
2408 mouse 279 122
2476 mouse 279 121
2497 mouse 278 120
2498 mouse 277 119
2499 mouse 277 118
2500 mouse 277 116
2501 mouse 277 115
2512 mouse 277 114
2513 mouse 277 113
2514 mouse 277 112
2515 mouse 277 111
2601 mouse 277 110
2789 mouse 277 109
2790 mouse 278 109
2791 mouse 278 108
2892 mouse 278 109
2904 mouse 278 110
2911 mouse 277 110
2912 mouse 277 111
2913 mouse 276 111
2914 mouse 274 111
2915 mouse 272 111
2916 mouse 269 111
2917 mouse 267 110
2918 mouse 265 110
2920 mouse 264 111
2921 mouse 263 114
2922 mouse 262 117
2923 mouse 261 120
2924 mouse 260 120
2925 mouse 260 121
2926 mouse 259 120
2927 mouse 257 119
2928 mouse 254 117
2929 mouse 253 117
2930 mouse 252 117
2931 mouse 251 117
2932 mouse 247 118
2933 mouse 245 121
2934 mouse 244 122
2954 mouse 241 120
2955 mouse 241 119
2972 mouse 239 120
2973 mouse 234 121
2974 mouse 226 123
2975 mouse 219 125
2976 mouse 211 127
2977 mouse 204 128
2978 mouse 198 129
2979 mouse 193 130
2980 mouse 192 130
2989 mouse 191 129
2991 mouse 191 128
3109 mouse 151 128
3126 mouse 152 127
3127 mouse 155 126
3128 mouse 159 124
3129 mouse 163 123
3130 mouse 166 121
3131 mouse 169 119
3132 mouse 170 118
3133 mouse 171 118
3135 mouse 172 117
3136 mouse 173 117
3137 mouse 174 117
3138 mouse 177 116
3139 mouse 180 115
3140 mouse 181 114
3141 mouse 182 114
3144 mouse 182 113
3145 mouse 183 109
3146 mouse 183 106
3147 mouse 184 105
3148 mouse 184 104
3149 mouse 184 103
3150 mouse 185 103
3151 mouse 186 101
3152 mouse 188 98
3153 mouse 189 95
3154 mouse 191 94
3155 mouse 191 93
3159 mouse 191 92
3160 mouse 192 92
3166 mouse 192 91
3168 mouse 193 90
3169 mouse 194 88
3170 mouse 195 86
3171 mouse 197 82
3172 mouse 199 79
3173 mouse 200 77
3175 mouse 200 76
3187 mouse 199 77
3197 mouse 201 76
3198 mouse 210 75
3199 mouse 230 71
3200 mouse 258 68
3201 mouse 291 64
3202 mouse 319 59
3203 mouse 319 54
3204 mouse 319 51
3205 mouse 319 49
3208 mouse 319 50
3209 mouse 319 51
3216 mouse 316 52
3217 mouse 296 53
3218 mouse 256 54
3219 mouse 215 57
3220 mouse 165 61
3221 mouse 96 66
3222 mouse 36 70
3223 mouse -26 73
3224 mouse -80 75
3225 mouse -80 77
3226 mouse -80 78
3227 mouse -80 79
3228 mouse -80 80
3229 mouse -80 81
3230 mouse -80 83
3231 mouse -80 84
3233 mouse -80 85
3241 mouse -74 84
3242 mouse -61 84
3243 mouse -42 83
3244 mouse -26 82
3245 mouse -8 81
3246 mouse 4 81
3247 mouse 13 81
3248 mouse 15 82
3257 mouse 18 82
3258 mouse 30 83
3259 mouse 60 84
3260 mouse 99 84
3261 mouse 144 82
3262 mouse 198 79
3263 mouse 250 76
3264 mouse 315 72
3265 mouse 319 66
3266 mouse 319 59
3267 mouse 319 52
3268 mouse 319 46
3269 mouse 319 45
3270 mouse 319 44
3271 mouse 316 43
3272 mouse 303 37
3273 mouse 280 29
3274 mouse 251 23
3275 mouse 221 21
3276 mouse 187 24
3277 mouse 168 28
3278 mouse 148 35
3279 mouse 138 41
3280 mouse 135 45
3281 mouse 136 48
3282 mouse 138 50
3283 mouse 140 53
3284 mouse 143 56
3285 mouse 146 60
3286 mouse 148 63
3287 mouse 149 64
3288 mouse 149 65
3289 mouse 150 67
3290 mouse 151 68
3291 mouse 152 69
3293 mouse 151 69
3294 mouse 148 69
3295 mouse 139 69
3296 mouse 125 68
3297 mouse 106 66
3298 mouse 91 66
3299 mouse 84 65
3300 mouse 82 65
3301 mouse 82 64
3306 mouse 83 64
3308 mouse 83 63
3309 mouse 82 61
3310 mouse 79 58
3311 mouse 73 53
3312 mouse 64 49
3313 mouse 58 48
3314 mouse 54 48
3315 mouse 51 48
3316 a 1
3322 a 0
3324 mouse 53 40
3325 mouse 56 23
3326 mouse 57 1
3327 mouse 60 0
3328 mouse 63 0
3329 mouse 66 0
3330 mouse 67 0
3331 mouse 66 0
3332 mouse 65 0
3333 mouse 64 0
3339 mouse 65 0
3340 mouse 67 9
3341 mouse 67 24
3342 mouse 66 39
3343 mouse 66 49
3344 mouse 66 55
3345 mouse 66 59
3346 mouse 66 60
3350 mouse 66 59
3351 mouse 66 58
3352 mouse 66 57
3353 mouse 66 56
3355 a 1
3360 a 0
3361 mouse 66 57
3362 mouse 68 61
3363 mouse 76 70
3364 mouse 88 83
3365 mouse 102 101
3366 mouse 118 120
3367 mouse 133 135
3368 mouse 147 144
3369 mouse 156 149
3370 mouse 160 151
3381 mouse 160 152
3382 mouse 161 153
3383 mouse 163 156
3384 mouse 166 161
3385 mouse 171 166
3386 mouse 176 170
3387 mouse 178 172
3388 mouse 178 173
3389 a 1
3393 mouse 178 172
3395 a 0
3395 mouse 176 170
3396 mouse 174 165
3397 mouse 167 154
3398 mouse 155 136
3399 mouse 138 115
3400 mouse 120 98
3401 mouse 107 86
3402 mouse 103 81
3403 mouse 102 78
3407 mouse 103 78
3409 mouse 104 77
3410 mouse 104 76
3411 mouse 105 76
3414 a 1
3414 mouse 105 75
3419 a 0
3420 mouse 105 78
3421 mouse 103 87
3422 mouse 98 102
3423 mouse 90 125
3424 mouse 81 147
3425 mouse 73 165
3426 mouse 65 178
3427 mouse 60 188
3428 mouse 56 194
3429 mouse 55 198
3430 mouse 54 199
3431 mouse 53 200
3433 mouse 52 201
3434 mouse 50 204
3435 mouse 47 207
3436 mouse 46 209
3437 mouse 45 210
3439 a 1
3442 mouse 46 208
3443 mouse 45 203
3444 a 0
3444 mouse 46 193
3445 mouse 46 178
