# db4a input recording
# frame button down
0 start 1
5 start 0
226 start 1
230 start 0
237 start 1
243 start 0
273 start 1
278 start 0
283 start 1
287 start 0
293 start 1
299 start 0
374 start 1
377 start 0
384 start 1
388 start 0
425 start 1
430 start 0
458 start 1
464 start 0
579 a 1
589 a 0
611 a 1
618 a 0
628 b 1
639 b 0
676 start 1
684 start 0
758 b 1
769 a 1
773 b 0
777 a 0
793 a 1
799 b 1
801 a 0
807 b 0
831 a 1
838 a 0
850 b 1
858 b 0
861 a 1
868 a 0
878 start 1
885 start 0
1246 a 1
1255 a 0
1339 a 1
1345 a 0
1549 start 1
1556 start 0
1625 start 1
1631 start 0
1637 start 1
1643 start 0
1658 a 1
1663 a 0
1863 a 1
1872 a 0
1878 a 1
1883 a 0
1889 a 1
1893 a 0
1899 a 1
1904 a 0
1910 a 1
1914 a 0
1920 a 1
1926 a 0
1935 a 1
1942 a 0
1948 a 1
1954 a 0
1961 a 1
1965 a 0
1971 a 1
1976 a 0
1984 a 1
1988 a 0
1995 a 1
2000 a 0
2005 a 1
2010 a 0
2016 a 1
2021 a 0
2027 a 1
2032 a 0
2037 a 1
2042 a 0
2047 a 1
2052 a 0
2058 a 1
2063 a 0
2070 a 1
2076 a 0
2110 a 1
2117 a 0
2123 a 1
2129 a 0
2187 right 1
2199 right 0
2214 a 1
2220 a 0
2846 down 1
2865 right 1
2868 down 0
2879 a 1
2880 right 0
2885 a 0
2891 a 1
2898 a 0
2954 down 1
2958 down 0
2971 a 1
2977 a 0
3041 left 1
3079 a 1
3085 a 0
3162 a 1
3165 left 0
3168 left 1
3168 a 0
3174 left 0
3183 right 1
3254 up 1
3258 right 0
3263 up 0
3263 a 1
3268 a 0
3285 up 1
3301 a 1
3310 a 0
3510 up 0
3510 a 1
3517 down 1
3517 a 0
3744 right 1
3758 down 0
3776 up 1
3776 right 0
3783 right 1
3803 right 0
3811 left 1
3822 up 0
3822 left 0
3828 a 1
3835 a 0
3839 right 1
3857 up 1
3968 up 0
3968 left 1
3968 right 0
3986 down 1
4023 down 0
4074 left 0
4082 right 1
4102 up 1
4250 up 0
4252 right 0
4254 a 1
4260 a 0
4268 down 1
4295 left 1
4399 left 0
4402 left 1
4476 down 0
4501 left 0
