# db4a input recording
# frame button down
413 a 1
420 a 0
605 a 1
611 a 0
996 a 1
1004 a 0
1029 a 1
1035 a 0
1051 a 1
1056 a 0
1118 a 1
1123 a 0
1196 a 1
1202 a 0
1213 a 1
1217 a 0
1224 a 1
1229 a 0
1236 a 1
1277 a 0
1283 a 1
1288 a 0
1296 a 1
1300 a 0
1306 a 1
1311 a 0
1318 a 1
1322 a 0
1330 a 1
1334 a 0
1341 a 1
1346 a 0
1354 a 1
1359 a 0
1367 a 1
1372 a 0
1380 a 1
1386 a 0
1394 a 1
1400 a 0
1407 a 1
1412 a 0
1419 a 1
1425 a 0
1432 a 1
1438 a 0
1445 a 1
1452 a 0
1619 a 1
1626 a 0
1941 a 1
1948 a 0
2199 right 1
2206 right 0
2210 down 1
2219 right 1
2223 down 0
2230 right 0
2231 a 1
2237 a 0
2246 a 1
2251 a 0
2290 down 1
2302 right 1
2304 down 0
2309 right 0
2314 a 1
2321 a 0
2349 down 1
2362 right 1
2416 down 0
2501 left 1
2501 right 0
2642 left 0
2645 right 1
2668 up 1
2681 up 0
2683 right 0
2697 left 1
2704 left 0
2707 down 1
2712 down 0
2726 left 1
2733 left 0
2750 a 1
2756 a 0
2765 right 1
2851 right 0
2877 left 1
2939 left 0
2955 left 1
2961 left 0
2989 left 1
3006 left 0
3022 right 1
3076 right 0
3099 left 1
3164 left 0
3173 right 1
3241 right 0
3255 left 1
3315 left 0
3339 left 1
3347 left 0
